trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,2,-170.24799364030687,"{0: 4, 1: 0, 2: 12, 3: 1, 4: 1}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,15,-72.08709485593897,"{0: 5, 1: 0, 2: 4, 3: 0, 4: 1}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,15,-47.96242006243501,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,8,-227.46722530308364,"{0: 5, 1: 0, 2: 8, 3: 0, 4: 4}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,16,-66.89747358425227,"{0: 6, 1: 0, 2: 8, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,12,-165.27473329273258,"{0: 7, 1: 0, 2: 0, 3: 3, 4: 3}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,8,-55.57687546185165,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,9,-55.80516963429074,"{0: 10, 1: 0, 2: 5, 3: 1, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,3,-329.7305056368411,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 7}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,13,-22.118211087262107,"{0: 4, 1: 0, 2: 3, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,2,-210.57743843525483,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 4}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,14,-42.66526370617859,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,12,-54.477177068623696,"{0: 4, 1: 0, 2: 2, 3: 2, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,11,-72.60151700425689,"{0: 4, 1: 0, 2: 4, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,-37,-442.69717528294393,"{0: 28, 1: 0, 2: 35, 3: 1, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,-45,-734.077074945453,"{0: 29, 1: 0, 2: 28, 3: 1, 4: 12}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,-22,-351.7755257734047,"{0: 23, 1: 0, 2: 19, 3: 0, 4: 5}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,-3,-148.46372301077386,"{0: 10, 1: 0, 2: 12, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,-90,-844.3492245061539,"{0: 48, 1: 0, 2: 52, 3: 0, 4: 10}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,-25,-461.735286480084,"{0: 24, 1: 0, 2: 25, 3: 0, 4: 6}",0
1,True,"{'a': 0, 'e': 0}",20,-100,-455.902820538629,"{0: 81, 1: 0, 2: 34, 3: 0, 4: 5}",0
2,True,"{'a': 0, 'e': 0}",25,-100,-913.4806949764882,"{0: 71, 1: 0, 2: 39, 3: 0, 4: 15}",0
3,True,"{'a': 0, 'e': 0}",20,-8,-261.3289711715435,"{0: 12, 1: 0, 2: 12, 3: 0, 4: 4}",0
4,True,"{'a': 0, 'e': 0}",20,-100,-863.7963750924736,"{0: 69, 1: 0, 2: 37, 3: 0, 4: 14}",0
5,True,"{'a': 0, 'e': 0}",20,-100,-965.3439700508139,"{0: 61, 1: 0, 2: 44, 3: 0, 4: 15}",0
6,True,"{'a': 0, 'e': 0}",20,-100,-858.0067437260689,"{0: 66, 1: 0, 2: 41, 3: 0, 4: 13}",0
7,True,"{'a': 0, 'e': 0}",25,-100,-957.9740133245172,"{0: 66, 1: 0, 2: 44, 3: 0, 4: 15}",0
8,True,"{'a': 0, 'e': 0}",20,4,-78.43041558339763,"{0: 10, 1: 0, 2: 5, 3: 0, 4: 1}",1
9,True,"{'a': 0, 'e': 0}",20,7,-17.095914580609797,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,-100,-962.9596205246564,"{0: 65, 1: 0, 2: 45, 3: 0, 4: 15}",0
