trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,True,"{'a': 0.05, 'e': 1.0}",20,14,-20.98490234184778,"{0: 4, 1: 0, 2: 1, 3: 1, 4: 0}",1
2,True,"{'a': 0.05, 'e': 1.0}",30,22,-20.336705195054627,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 0}",1
3,True,"{'a': 0.05, 'e': 1.0}",25,14,-100.20287591742913,"{0: 5, 1: 2, 2: 2, 3: 0, 4: 2}",1
4,True,"{'a': 0.05, 'e': 1.0}",20,2,-156.97853192460926,"{0: 8, 1: 0, 2: 7, 3: 1, 4: 2}",1
5,True,"{'a': 0.05, 'e': 1.0}",30,11,-183.5353284454064,"{0: 10, 1: 0, 2: 5, 3: 1, 4: 3}",1
6,True,"{'a': 0.05, 'e': 1.0}",25,8,-40.97143323459004,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
7,True,"{'a': 0.05, 'e': 1.0}",20,14,-22.955597118862965,"{0: 4, 1: 0, 2: 1, 3: 1, 4: 0}",1
8,True,"{'a': 0.05, 'e': 1.0}",20,16,9.098129407808273,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.05, 'e': 1.0}",20,8,-44.16388926849117,"{0: 6, 1: 1, 2: 5, 3: 0, 4: 0}",1
10,True,"{'a': 0.05, 'e': 1.0}",20,0,-134.79510465312788,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
